epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8201,0.91406,3.0808,1.24981,0.00385,1,0.71088,0.57276,0.56079,3.70071,1.0512,0.00021435,0.00021435,0.00021435
2,91.2664,0.7292,2.42582,1.07519,0.00339,1,0.77645,0.65026,0.53386,3.59448,1.0318,0.000434219,0.000434219,0.000434219
3,137.965,0.75539,1.83381,1.0651,0.00428,1,0.59392,0.45911,0.6673,3.41857,1.22853,0.000645033,0.000645033,0.000645033
4,183.618,0.70212,1.45467,1.04332,0.51821,0.13333,0.5492,0.36747,0.86527,3.68779,1.51503,0.000846794,0.000846794,0.000846794
5,229.256,0.75561,1.38277,1.07318,0.70783,0.79392,0.81669,0.63778,1.02052,3.49235,1.56902,0.0010395,0.0010395,0.0010395
6,276.704,0.71943,1.37166,1.03431,0.70914,0.88487,0.80981,0.69289,0.65994,2.94699,1.10594,0.00122315,0.00122315,0.00122315
7,324.525,0.69985,1.26418,1.02379,0.72511,0.85899,0.89797,0.76603,0.80391,2.66186,1.40147,0.00125923,0.00125923,0.00125923
8,371.113,0.65755,1.16283,1.02123,0.8887,0.76348,0.7819,0.63652,0.75916,2.2009,1.1601,0.00123094,0.00123094,0.00123094
9,417.515,0.69372,1.20513,1.03577,0.77641,0.68106,0.75435,0.63194,0.70302,3.15181,1.23627,0.00120265,0.00120265,0.00120265
10,463.883,0.67986,1.08738,1.01292,0.92681,0.47066,0.70027,0.61426,0.66762,2.65908,1.12068,0.00117435,0.00117435,0.00117435
11,511.043,0.64886,0.9939,1.00959,0.90069,0.95063,0.995,0.81709,0.87643,1.49279,1.45769,0.00114606,0.00114606,0.00114606
12,557.5,0.6807,1.00734,1.01727,0.81751,0.99604,0.995,0.86552,0.66674,1.37895,1.10088,0.00111776,0.00111776,0.00111776
13,603.987,0.65311,0.94853,1.02943,0.78835,0.9316,0.89966,0.76921,0.66451,1.59123,1.08792,0.00108947,0.00108947,0.00108947
14,650.666,0.6555,0.87692,1.00526,0.92628,0.98757,0.98514,0.78546,0.80689,1.59819,1.37378,0.00106118,0.00106118,0.00106118
15,697.214,0.6516,0.88866,1.00276,0.86527,0.88628,0.94628,0.81546,0.71634,1.48357,1.15299,0.00103288,0.00103288,0.00103288
16,755.158,0.63056,0.87435,1.00956,0.99331,0.9821,0.995,0.86229,0.61063,0.89019,1.04093,0.00100459,0.00100459,0.00100459
17,811.381,0.6708,0.8192,1.01442,0.94369,0.90202,0.995,0.87594,0.61014,0.91329,1.05048,0.000976293,0.000976293,0.000976293
18,866.614,0.64493,0.78804,0.98249,0.9711,1,0.995,0.90546,0.56547,0.8571,1.0057,0.000947999,0.000947999,0.000947999
19,914.276,0.62044,0.77023,0.98711,0.98085,1,0.995,0.85959,0.59249,0.86103,1.02975,0.000919704,0.000919704,0.000919704
